drug_a_name,drug_a_rxcui,drug_b_name,drug_b_rxcui,interaction_text,severity,sources,drug_a,drug_b,description,mechanism
Bigomet 850 Tablet,,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bigomet 850 Tablet,,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bigomet 850 Tablet,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Bymet 1000 Tablet PR,,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Bymet 1000 Tablet PR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Diamet 500mg Tablet SR,310593,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Diamet 500mg Tablet SR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 500 SR Tablet,,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 500 SR Tablet,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Elcephase 500mg Tablet,,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Elcephase 500mg Tablet,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 500 Tablet SR,218901,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 500 Tablet SR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Exermet 1000 Tablet SR,,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Exermet 1000 Tablet SR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eternex-M 1000 Tablet SR,1864420,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eternex-M 1000 Tablet SR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Eliptin M 500mg/20mg Tablet SR,2179495,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Eliptin M 500mg/20mg Tablet SR,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Efiglin-M 500mg/20mg Tablet ER,370050,Ibukind Plus 100 mg/162.5 mg Suspension,1489934,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Efiglin-M 500mg/20mg Tablet ER,Ibukind Plus 100 mg/162.5 mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Brufen 400 Tablet,201137,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Brufen 400 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Brufen 200 Tablet,202487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Brufen 200 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Brufen 600 Tablet,201149,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Brufen 600 Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Brupal 300mg/325mg Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Brupal 300mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Brufamol Tablet,,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Brufamol Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Fenceta Plus 100mg/162.5mg Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Fenceta Plus 100mg/162.5mg Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Imol Suspension,27478,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Imol Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Ibuflamar-P 400mg/325mg Tablet,1921784,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Ibuflamar-P 400mg/325mg Tablet,Reduced kidney function may affect drug elimination,clinical_evidence
Formin Plus  500 Tablet SR,1426756,Ibucon Plus Suspension,151487,Reduced kidney function may affect drug elimination,medium,DrugBank;Clinical Studies,Formin Plus  500 Tablet SR,Ibucon Plus Suspension,Reduced kidney function may affect drug elimination,clinical_evidence
